,text,weekday,month,day,hour,has_hashtag,has_url,fav_count,is_reply,retweet_count,followers,following,user,screen_name,tweetos
0,السلام عليكم، اخوي انا قدمت في هنقرستيشن كمندوب عندكم وما جاني اي رد من ٤ ايام، من وين بيجيني الرسالة؟,Wed,Aug,07,07,0,0,0,1,0,17,61,Syrex.,sv1_tan,@HungerStation
1,rt كود هنقرستيشن 💞💞,Wed,Aug,07,07,0,0,0,0,1,193,157,نجلا القحطاني,9vxzl,other
2,هنقرستيشن افضل تطبيق توصيل عيبهم الوحيد مايوفر جميع المطاعم اتمنى يكون فيه خانة البحث عن المطاعم عشان يكون الخيارات كثيره,Wed,Aug,07,07,1,0,0,0,0,2341,10,️عماد ليس إلا,Dr__3mad,other
3,التوصيل في مدينة جدة عن طريق تطبيق هنقرستيشن وتطبيق جاهز و تطبيق كاريج وتطبيق وصّل 🌹,Wed,Aug,07,07,0,0,0,1,0,42079,19,AANI & DANI | اني وداني,aanidani,@ALBANDARIAS
4,كود هنقرستيشن للأرقام الجديده يرجعلك 50% من قيمة طلبك + 20 ريال ب أستخدام رمز (7mlfwb عند خانة الرمز الترويجي كما…,Wed,Aug,07,07,0,1,0,0,0,38,60,ريم كود خصم ايهيرب APY0079 [ هنقرستيشن ],BhZ1_,other
5,"كود خصم موقع نون و فوغا كلوسيت ، كود نون "" ulem “ - كود فوقا "" ab7 "" ريتويت عشان الكل يستفيد "" نمشي وصل كوبون ا…",Wed,Aug,07,07,0,1,0,0,0,21,0,اكواد خصم,R0iWf,other
6,كود خصم20ريال هنقرستيشن fkg9wf للعملاء الجدد التوصيل مجانا,Wed,Aug,07,07,0,0,0,0,0,28,136,newnew,newnew9009l,other
7,كود كوبون خصم هنقرستيشن wjs9lkg يرجع لك جزء من رصيدك لا يفووتك ضعه في خانة الرمز الترويجي,Wed,Aug,07,07,0,0,0,0,0,5,22,H🍔,foodgoods99,other
8,تبي ٥٠ ريال تجي بمحفظتك مع توصيل مجاني ؟ لازم يكون اول طلب لك في هنقرستيشن ، استخدم رقم جديد كل مرة ، اولاً تضيف ال…,Wed,Aug,07,07,0,1,0,0,0,15,1,كود خصم هنقرستيشن,Hunger_c5,other
9,في خانة الرمز الترويجي كود خصم كوبون تخفيض hungerstation من هنقرستيشن 2hpm67q,Wed,Aug,07,07,0,0,0,0,0,1,0,كودات,alldh4869,other
